DATETIMEDATA,TEMP,PM25
2024-03-17 11:00:00,32.74448,18.49808856601715
2024-03-17 12:00:00,33.346912,17.75906421985626
2024-03-17 13:00:00,33.706932,17.461950841045383
2024-03-17 14:00:00,33.536255,17.174877504634864
2024-03-17 15:00:00,33.39972,17.229472599887846
2024-03-17 16:00:00,32.689445,17.8929420624733
2024-03-17 17:00:00,31.50093,18.877920021533967
2024-03-17 18:00:00,29.841196,19.60427500953674
2024-03-17 19:00:00,28.905598,20.174454975414275
2024-03-17 20:00:00,28.748451,20.479128353500368
2024-03-17 21:00:00,28.484194,19.96646628599167
2024-03-17 22:00:00,28.136465,20.2094500275612
2024-03-17 23:00:00,28.015198,19.286764157104493
2024-03-18 00:00:00,27.689045,19.45946901226044
2024-03-18 01:00:00,27.113747,19.225713915634152
2024-03-18 02:00:00,27.078707,18.55217871894837
2024-03-18 03:00:00,26.825123,18.226626277160648
2024-03-18 04:00:00,26.454754,19.492275745964047
2024-03-18 05:00:00,26.29866,20.119384719848632
2024-03-18 06:00:00,25.746166,22.0427696103096
2024-03-18 07:00:00,26.358904,22.420755916690837
2024-03-18 08:00:00,28.560879,23.55891373319626
2024-03-18 09:00:00,30.554089,22.35161134090424
2024-03-18 10:00:00,31.805342,19.73537033929825
2024-03-18 11:00:00,33.268272,18.251523124694824
2024-03-18 12:00:00,34.138744,17.529073626422882
2024-03-18 13:00:00,34.410378,17.23114247407913
2024-03-18 14:00:00,34.19565,16.867861077880857
2024-03-18 15:00:00,33.972977,16.821988615417478
2024-03-18 16:00:00,33.1951,17.564302958106992
2024-03-18 17:00:00,31.947376,18.362396197509767
2024-03-18 18:00:00,30.17544,19.05532460718155
2024-03-18 19:00:00,29.268328,20.420022323036186
2024-03-18 20:00:00,29.09238,20.938861547660828
2024-03-18 21:00:00,28.582539,20.327983790206908
2024-03-18 22:00:00,28.335688,19.49295436153412
2024-03-18 23:00:00,28.035471,18.871433466053013
2024-03-19 00:00:00,27.871925,20.04285340833664
2024-03-19 01:00:00,27.276245,19.501071232795717
2024-03-19 02:00:00,27.222437,18.95500583209991
2024-03-19 03:00:00,26.99353,18.514005831336977
2024-03-19 04:00:00,26.595758,18.974298729705808
2024-03-19 05:00:00,26.382673,19.546341887950906
2024-03-19 06:00:00,26.153824,21.389791672706608
2024-03-19 07:00:00,26.574709,21.97746020355224
2024-03-19 08:00:00,28.82031,23.488505560207365
2024-03-19 09:00:00,30.909504,21.71334663639068
2024-03-19 10:00:00,31.94013,18.02649816570282
2024-03-19 11:00:00,33.455704,16.49512900733948
2024-03-19 12:00:00,34.398888,15.789519149780276
2024-03-19 13:00:00,34.892635,15.522571127510076
2024-03-19 14:00:00,34.40839,15.394090684890749
2024-03-19 15:00:00,34.03364,15.447090679645546
2024-03-19 16:00:00,33.23917,15.565726286125187
2024-03-19 17:00:00,31.597435,17.363922015762327
2024-03-19 18:00:00,29.877983,18.37905989713669
2024-03-19 19:00:00,29.138893,19.84219242525101
2024-03-19 20:00:00,28.93696,20.33304108810425
2024-03-19 21:00:00,28.578491,20.278374027442936
2024-03-19 22:00:00,28.433565,19.207093890571592
2024-03-19 23:00:00,28.060444,18.79335076522827
2024-03-20 00:00:00,27.850708,21.52402045049668
